SampleName,Illumina,PacBio,BioSample,Replicate
P-22-20227-A021423R_merged_reseq0307,Ill_P-22-20227-A021423R_merged_reseq0307.fastq.gz,,,
V-21-40005-A021423R_merged_reseq0307,Ill_V-21-40005-A021423R_merged_reseq0307.fastq.gz,,,
P-21-20167-A021423R_merged_reseq0307,Ill_P-21-20167-A021423R_merged_reseq0307.fastq.gz,,,
V-21-40001-A021423R_merged_reseq0307,Ill_V-21-40001-A021423R_merged_reseq0307.fastq.gz,,,
R-21-10052-A021423R_merged_reseq0307,Ill_R-21-10052-A021423R_merged_reseq0307.fastq.gz,,,
P-21-20119-A021423R_merged_reseq0307,Ill_P-21-20119-A021423R_merged_reseq0307.fastq.gz,,,
R-21-10099-A021423R_merged_reseq0307,Ill_R-21-10099-A021423R_merged_reseq0307.fastq.gz,,,
R-22-10209-A021423R_merged_reseq0307,Ill_R-22-10209-A021423R_merged_reseq0307.fastq.gz,,,
P-21-20120-A021423R_merged_reseq0307,Ill_P-21-20120-A021423R_merged_reseq0307.fastq.gz,,,
P-22-20006-A021423R_merged_reseq0307,Ill_P-22-20006-A021423R_merged_reseq0307.fastq.gz,,,
R-22-10139-A021423R_merged_reseq0307,Ill_R-22-10139-A021423R_merged_reseq0307.fastq.gz,,,
R-21-10111-A021423R_merged_reseq0307,Ill_R-21-10111-A021423R_merged_reseq0307.fastq.gz,,,
R-21-10091-A021423R_merged_reseq0307,Ill_R-21-10091-A021423R_merged_reseq0307.fastq.gz,,,
P-22-20198-A021423R_merged_reseq0307,Ill_P-22-20198-A021423R_merged_reseq0307.fastq.gz,,,
P-21-20116-A021423R_merged_reseq0307,Ill_P-21-20116-A021423R_merged_reseq0307.fastq.gz,,,
P-22-20168-A021423R_merged_reseq0307,Ill_P-22-20168-A021423R_merged_reseq0307.fastq.gz,,,
MI04PosC-A021423R_merged_reseq0307,Ill_MI04PosC-A021423R_merged_reseq0307.fastq.gz,,,
NTC-A021423R_merged_reseq0307,Ill_NTC-A021423R_merged_reseq0307.fastq.gz,,,
P-22-20227-B021423R_merged_reseq0307,Ill_P-22-20227-B021423R_merged_reseq0307.fastq.gz,,,
V-21-40005-B021423R_merged_reseq0307,Ill_V-21-40005-B021423R_merged_reseq0307.fastq.gz,,,
P-21-20167-B021423R_merged_reseq0307,Ill_P-21-20167-B021423R_merged_reseq0307.fastq.gz,,,
V-21-40001-B021423R_merged_reseq0307,Ill_V-21-40001-B021423R_merged_reseq0307.fastq.gz,,,
R-21-10052-B021423R_merged_reseq0307,Ill_R-21-10052-B021423R_merged_reseq0307.fastq.gz,,,
P-21-20119-B021423R_merged_reseq0307,Ill_P-21-20119-B021423R_merged_reseq0307.fastq.gz,,,
R-21-10099-B021423R_merged_reseq0307,Ill_R-21-10099-B021423R_merged_reseq0307.fastq.gz,,,
R-22-10209-B021423R_merged_reseq0307,Ill_R-22-10209-B021423R_merged_reseq0307.fastq.gz,,,
P-21-20120-B021423R_merged_reseq0307,Ill_P-21-20120-B021423R_merged_reseq0307.fastq.gz,,,
P-22-20006-B021423R_merged_reseq0307,Ill_P-22-20006-B021423R_merged_reseq0307.fastq.gz,,,
R-22-10139-B021423R_merged_reseq0307,Ill_R-22-10139-B021423R_merged_reseq0307.fastq.gz,,,
R-21-10111-B021423R_merged_reseq0307,Ill_R-21-10111-B021423R_merged_reseq0307.fastq.gz,,,
R-21-10091-B021423R_merged_reseq0307,Ill_R-21-10091-B021423R_merged_reseq0307.fastq.gz,,,
P-22-20198-B021423R_merged_reseq0307,Ill_P-22-20198-B021423R_merged_reseq0307.fastq.gz,,,
P-21-20116-B021423R_merged_reseq0307,Ill_P-21-20116-B021423R_merged_reseq0307.fastq.gz,,,
P-22-20168-B021423R_merged_reseq0307,Ill_P-22-20168-B021423R_merged_reseq0307.fastq.gz,,,
MI04PosC-B021423R_merged_reseq0307,Ill_MI04PosC-B021423R_merged_reseq0307.fastq.gz,,,
NTC-B021423R_merged_reseq0307,Ill_NTC-B021423R_merged_reseq0307.fastq.gz,,,
